date,open,high,low,close,volume,ma_price5,ma_volume5,amount,amplitude,price_change_pct,turnover_rate
2015-12-10,42.07,44.11,41.49,43.04,8852989,40.592,6756113,381032646.56,6.23,2.31,3.7
2015-12-11,42.5,44.8,42.5,43.87,6379216,41.374,7019027,279856205.91999996,5.41,3.22,4.64
2015-12-14,43.95,44.0,42.51,43.35,4779800,42.124,6659803,207204330.0,3.39,-1.37,3.52
2015-12-15,43.34,46.0,43.34,45.5,6005727,43.532,7065714,273260578.5,6.14,4.98,1.88
2015-12-16,45.0,46.39,44.5,44.51,5501867,44.054,6303920,244888100.17,4.2,-1.09,2.28
2015-12-17,44.01,47.77,44.0,46.31,7406171,44.708,6014556,342979779.01,8.57,5.23,0.1
2015-12-18,46.0,49.15,45.88,47.12,5698965,45.358,5878506,268535230.8,7.11,2.43,3.59
2015-12-21,47.2,49.15,47.2,48.05,4491985,46.298,5820943,215839879.25,4.13,1.8,4.32
2015-12-22,49.01,49.28,47.1,47.58,3477528,46.714,5315303,165460782.23999998,4.45,-2.92,2.66
2015-12-23,48.0,48.0,45.3,46.0,5685692,47.012,5352068,261541832.0,5.63,-4.17,3.03
2015-12-24,45.35,47.0,43.43,46.7,3502903,47.09,4571415,163585570.10000002,7.87,2.98,3.04
2015-12-25,46.5,47.8,45.57,47.08,2518633,47.082,3935348,118577241.64,4.8,1.25,4.15
2015-12-28,47.08,49.0,46.0,46.0,3821514,46.672,3801254,175789644.0,6.37,-2.29,4.92
2015-12-29,46.0,46.79,44.44,45.73,3114403,46.302,3728629,142421649.19,5.11,-0.59,1.59
2015-12-30,45.73,45.9,44.49,44.87,4169008,46.076,3425292,187063388.95999998,3.08,-1.88,0.67
2015-12-31,44.87,45.58,44.2,45.2,3225490,45.776,3369810,145792148.0,3.08,0.74,1.6
2016-01-04,45.1,45.5,40.68,40.68,5954797,44.496,4057042,242241141.96,10.69,-9.8,2.24
2016-01-05,36.63,40.95,36.61,36.61,9478666,42.618,5188473,347013962.26,11.85,-0.05,2.0
2016-01-06,36.61,38.4,34.01,37.65,7803585,41.002,6126309,293804975.25,11.99,2.84,4.51
2016-01-07,36.7,36.7,33.89,33.89,1757185,38.806,5643945,59550999.65,7.66,-7.66,3.58
2016-01-08,34.01,35.51,31.01,32.9,8160294,36.346,6630905,268473672.59999996,13.23,-3.26,2.89
2016-01-11,30.9,32.58,29.67,31.88,7684262,34.586,6976798,244974272.56,9.42,3.17,2.74
2016-01-12,31.9,33.08,30.9,32.19,3807703,33.702,5842606,122569959.57,6.83,0.91,2.78
2016-01-13,32.0,34.67,30.5,30.97,5575582,32.366,5397005,172675774.54,13.03,-3.22,3.57
2016-01-14,28.9,32.96,28.9,32.81,6465569,32.15,6338682,212135318.89000002,14.05,13.53,1.64
2016-01-15,33.1,34.8,32.3,33.01,8441682,32.172,6394960,278659922.82,7.55,-0.27,2.24
2016-01-18,32.2,34.6,31.8,33.7,4196224,32.536,5697352,141412748.8,8.7,4.66,4.67
2016-01-19,33.92,34.88,33.0,34.68,5097753,33.034,5955362,176790074.04,5.54,2.24,2.68
2016-01-20,35.59,35.99,34.01,34.76,5364831,33.792,5913212,186481525.56,5.56,-2.33,0.47
2016-01-21,33.8,34.3,31.28,31.3,4964104,33.49,5612919,155376455.20000002,8.93,-7.4,2.16
2016-01-22,30.5,32.3,29.23,32.27,4520649,33.342,4828712,145881343.23000002,10.07,5.8,2.72
2016-01-25,32.5,32.88,29.38,30.58,7970531,32.718,5583574,243738837.98,10.77,-5.91,4.04
2016-01-26,30.01,30.01,27.52,27.52,6661726,31.286,5896368,183330699.52,8.3,-8.3,2.06
2016-01-27,27.3,27.76,24.77,24.77,7014936,29.288,6226389,173759964.72,10.95,-9.27,2.9
2016-01-28,24.54,25.48,23.51,24.59,6887798,27.946,6611128,169370952.82,8.03,0.2,2.24
2016-01-29,24.59,26.15,24.11,25.49,3966465,26.59,6500291,101105192.85,8.3,3.66,4.36
2016-02-01,25.1,25.55,24.1,25.31,5275146,25.536,5961214,133513945.25999999,5.78,0.84,1.5
2016-02-02,25.69,27.11,25.23,26.69,5734165,25.37,5775702,153044863.85,7.32,3.89,3.49
2016-02-03,26.0,26.86,26.0,26.49,2556913,25.714,4884097,67732625.36999999,3.31,1.88,1.04
2016-02-04,26.76,28.15,26.5,27.55,5634367,26.306,4633411,155226810.85,6.17,2.95,0.84
