date,open,high,low,close,volume,ma_price5,ma_volume5,amount,amplitude,price_change_pct,turnover_rate
2019-05-30,10.56,10.63,10.37,10.55,17951880,10.422,16016832,189392334.0,2.46,-0.09,1.5
2019-05-31,10.56,10.69,10.38,10.4,11601408,10.47,16595391,120654643.2,2.94,-1.52,0.04
2019-06-03,10.17,10.34,10.02,10.08,14846001,10.41,17099836,149647690.08,3.15,-0.88,2.81
2019-06-04,10.08,10.34,9.97,10.18,12177649,10.394,17285267,123968466.82,3.67,0.99,2.67
2019-06-05,10.25,10.3,10.07,10.11,8361942,10.264,12987776,84539233.61999999,2.24,-1.37,3.74
2019-06-06,10.1,10.15,9.67,9.8,12001858,10.114,11797772,117618208.4,4.75,-2.97,1.41
2019-06-10,9.81,9.94,9.72,9.88,7447680,10.01,10967026,73583078.4,2.24,0.71,2.77
2019-06-11,9.85,10.28,9.82,10.25,15845404,10.044,11166907,162415391.0,4.67,4.06,2.6
2019-06-12,10.23,10.3,10.11,10.12,8961671,10.032,10523711,90692110.52,1.86,-1.08,2.08
2019-06-13,10.1,10.22,10.04,10.14,7531000,10.038,10357523,76364340.0,1.78,0.4,3.45
2019-06-14,10.16,10.27,9.93,9.94,10205768,10.066,9998305,101445333.92,3.35,-2.17,4.55
2019-06-17,9.85,10.05,9.83,9.98,4929349,10.086,9494638,49194903.02,2.23,1.32,1.9
2019-06-18,9.98,10.05,9.85,9.93,5670528,10.022,7459663,56308343.04,2.0,-0.5,1.16
2019-06-19,10.11,10.21,9.93,9.95,14401589,9.988,8547647,143295810.54999998,2.77,-1.58,1.11
2019-06-20,9.85,10.6,9.76,10.35,33324669,10.03,13706381,344910324.15,8.53,5.08,3.69
2019-06-21,10.27,10.58,10.27,10.52,24983035,10.146,16661834,262821528.2,3.02,2.43,3.05
2019-06-24,10.46,10.55,10.29,10.33,12939514,10.216,18263867,133665179.62,2.49,-1.24,1.2
2019-06-25,10.32,10.36,10.02,10.14,12060316,10.258,19541825,122291604.24000001,3.29,-1.74,4.91
2019-06-26,10.05,10.18,10.0,10.07,6150158,10.282,17891538,61932091.06,1.79,0.2,4.0
2019-06-27,10.06,10.33,10.06,10.16,9679313,10.244,13162467,98341820.08,2.68,0.99,0.06
2019-06-28,10.13,10.15,9.97,10.06,7501627,10.152,9666186,75466367.62,1.78,-0.69,3.46
2019-07-01,10.27,10.42,10.18,10.37,16277290,10.16,10333741,168795497.29999998,2.34,0.97,2.91
2019-07-02,10.38,10.45,10.25,10.37,13161400,10.206,10553958,136483718.0,1.93,-0.1,0.77
2019-07-03,10.38,10.38,10.14,10.21,9108417,10.234,11145609,92996937.57000001,2.31,-1.64,4.55
2019-07-04,10.25,10.29,10.13,10.18,6270800,10.238,10463907,63836744.0,1.56,-0.68,0.63
2019-07-05,10.22,10.33,10.16,10.32,8556087,10.29,10674799,88298817.84,1.66,0.98,3.96
2019-07-08,10.24,10.25,9.95,9.98,10406631,10.212,9500667,103858177.38000001,2.93,-2.54,4.59
2019-07-09,9.99,10.07,9.9,10.03,5364124,10.144,7941212,53802163.72,1.7,0.4,3.41
2019-07-10,10.05,10.05,9.85,9.88,5481200,10.078,7215768,54154256.00000001,1.99,-1.69,4.96
2019-07-11,9.91,10.02,9.85,9.89,5970613,10.02,7155731,59049362.57,1.72,-0.2,4.87
2019-07-12,9.91,10.25,9.82,10.08,11090190,9.972,7662552,111789115.2,4.34,1.72,3.43
2019-07-15,10.0,10.2,9.85,10.13,10559791,10.002,7693184,106970682.83000001,3.5,1.3,4.69
2019-07-16,10.07,10.13,10.01,10.05,5049428,10.006,7630244,50746751.400000006,1.19,-0.2,3.06
2019-07-17,10.05,10.08,9.94,9.96,6546405,10.022,7843285,65202193.800000004,1.39,-0.9,1.07
2019-07-18,9.91,9.94,9.84,9.84,5845706,10.012,7818304,57521747.04,1.01,-0.71,0.36
2019-07-19,9.85,10.0,9.82,9.83,7620896,9.962,7124445,74913407.68,1.83,-0.2,3.24
